player_name,average_tunnel_distance,TNL,predicted_TNL,Category
"Adcock, Ty",6.954622549939131,87,86.92300083190717,Elite
"Brogdon, Connor",12.880842065494148,76,76.2232682528562,Elite
"Gordon, Tanner",13.614286297993923,75,74.8990417153821,Elite
"Wilson, Justin",14.227584049594228,74,73.79173849851131,Elite
"Lovelady, Richard",15.303864639099814,72,71.84852420185787,Elite
"Glasnow, Tyler",15.949157062419886,71,70.68345491161477,Elite
"Cruz, Fernando",16.121177751073358,70,70.37287320571858,Elite
"Romano, Jordan",16.13086804891479,70,70.3553774657713,Elite
"Meyer, Max",16.874433061791105,69,69.01287795625556,Elite
"Santana, Dennis",17.57608391643895,68,67.74605405800322,Elite
"Stratton, Hunter",17.73179241723079,67,67.46492385106697,Elite
"Jackson, Jay",18.784795276549133,66,65.56373727333232,Elite
"Brazoban, Huascar",18.371009906838022,66,66.31082279546186,Elite
"Hamilton, Ian",18.628062680136726,66,65.84671647510359,Elite
"Montas, Frankie",18.748975949041956,66,65.62840872609952,Elite
"Neris, Héctor",18.84154902192493,65,65.46126892959538,Elite
"Treinen, Blake",20.478078213518582,63,62.50653114745592,Elite
"Poche, Colin",19.98514862869545,63,63.39651079199432,Elite
"Feltner, Ryan",20.080194801390288,63,63.22490583746508,Elite
"Lange, Alex",20.690330914871257,62,62.12331092793928,Elite
"Ortiz, Luis L.",20.818456521664704,62,61.89198137195166,Elite
"Garcia, Robert",21.978435793601335,60,59.79764990576367,Elite
"Miller, Shelby",21.92751712689366,60,59.889583070848744,Elite
"Gray, Sonny",21.794595316021944,60,60.129572127365726,Elite
"Weaver, Luke",22.075922729025034,60,59.62163817750302,Elite
"Fulmer, Carson",22.45391528156373,59,58.939176243985166,Elite
"Ginkel, Kevin",23.001298392528803,58,57.950881279507,Elite
"Megill, Trevor",23.091472720257485,58,57.78807239440578,Elite
"Iglesias, Raisel",22.81620370749329,58,58.28506796065936,Elite
"Flexen, Chris",24.157650692119276,56,55.86309827715395,Elite
"Falter, Bailey",24.010554723219286,56,56.12867864024297,Elite
"Hernández, Elieser",24.24108197821398,56,55.71246388914377,Elite
"Hartlieb, Geoff",24.770776324626066,55,54.756105819658096,Elite
"Bickford, Phil",24.846156367947554,55,54.62000787336701,Elite
"Díaz, Alexis",24.578961693720917,55,55.10242529872016,Elite
"Mushinski, Parker",25.44661880666201,54,53.53587869098593,Elite
"Schwellenbach, Spencer",24.966091120999884,54,54.40346682536396,Elite
"Clase, Emmanuel",24.987721101605644,54,54.36441410253379,Elite
"Bradish, Kyle",24.98084629027284,54,54.376826508554075,Elite
"Shuster, Jared",25.331079520633313,54,53.74448376537386,Elite
"Knack, Landon",25.636661147465947,53,53.192759064728115,Elite
"Varland, Louie",25.995049070722576,53,52.54569310162259,Elite
"Pallante, Andre",25.601856717561393,53,53.2555981295936,Elite
"Abbott, Andrew",25.74366216996758,53,52.99956974336609,Elite
"Baker, Bryan",25.558483600353867,53,53.33390787732101,Elite
"Woo, Bryan",26.133904568063024,52,52.29499083101411,Elite
"McGough, Scott",26.48167775261096,52,51.667089676988205,Elite
"King, John",26.63465829325818,51,51.39088477596698,Elite
"Olson, Reese",27.102749184519762,51,50.545751154770116,Elite
"Meeker, James",27.57845503651604,50,49.68686879489636,Elite
"López, Pablo",27.322481376127698,50,50.14902678722979,Elite
"Stone, Gavin",27.662216914303173,50,49.53563752675163,Elite
"Burke, Brock",27.44578066495228,50,49.92641110211259,Elite
"Willingham, Amos",27.641729842050687,50,49.57262673949576,Elite
"López, Jorge",27.45019376373071,50,49.91844329453304,Elite
"Pagán, Emilio",27.56910848918705,50,49.703743896585586,Elite
"Morgan, Eli",27.333466567234364,50,50.12919312989351,Elite
